"time_value","geo_value_fullname","fips","value"
2021-09-18,"Vermont","50",14
2021-09-18,"Virginia","51",306
2021-09-18,"Washington","53",311
2021-09-18,"West Virginia","54",179
2021-09-18,"Wisconsin","55",172
2021-09-18,"Wyoming","56",49
2021-09-18,"New York","36",297
2021-09-18,"US","US",15211
2021-09-25,"Alabama","01",424
2021-09-25,"Alaska","02",55
2021-09-25,"Arizona","04",289
2021-09-25,"Arkansas","05",166
2021-09-25,"California","06",922
2021-09-25,"Colorado","08",129
2021-09-25,"Connecticut","09",44
2021-09-25,"Delaware","10",34
2021-09-25,"District of Columbia","11",9
2021-09-25,"Florida","12",1561
2021-09-25,"Georgia","13",791
2021-09-25,"Hawaii","15",59
2021-09-25,"Idaho","16",172
2021-09-25,"Illinois","17",262
2021-09-25,"Indiana","18",316
2021-09-25,"Iowa","19",94
2021-09-25,"Kansas","20",133
2021-09-25,"Kentucky","21",433
2021-09-25,"Louisiana","22",225
2021-09-25,"Maine","23",39
2021-09-25,"Maryland","24",125
2021-09-25,"Massachusetts","25",85
2021-09-25,"Michigan","26",215
2021-09-25,"Minnesota","27",107
2021-09-25,"Mississippi","28",196
2021-09-25,"Missouri","29",215
2021-09-25,"Montana","30",76
2021-09-25,"Nebraska","31",58
2021-09-25,"Nevada","32",165
2021-09-25,"New Hampshire","33",14
2021-09-25,"New Jersey","34",149
2021-09-25,"New Mexico","35",60
2021-09-25,"North Carolina","37",600
2021-09-25,"North Dakota","38",23
2021-09-25,"Ohio","39",656
2021-09-25,"Oklahoma","40",298
2021-09-25,"Oregon","41",203
2021-09-25,"Pennsylvania","42",366
2021-09-25,"Rhode Island","44",11
2021-09-25,"South Carolina","45",483
2021-09-25,"South Dakota","46",27
2021-09-25,"Tennessee","47",714
2021-09-25,"Texas","48",1912
2021-09-25,"Utah","49",87
2021-09-25,"Vermont","50",12
2021-09-25,"Virginia","51",340
2021-09-25,"Washington","53",292
2021-09-25,"West Virginia","54",192
2021-09-25,"Wisconsin","55",154
2021-09-25,"Wyoming","56",50
2021-09-25,"New York","36",305
2021-09-25,"US","US",14347
2021-10-02,"Alabama","01",369
2021-10-02,"Alaska","02",58
2021-10-02,"Arizona","04",266
2021-10-02,"Arkansas","05",145
2021-10-02,"California","06",838
2021-10-02,"Colorado","08",149
2021-10-02,"Connecticut","09",39
2021-10-02,"Delaware","10",28
2021-10-02,"District of Columbia","11",14
2021-10-02,"Florida","12",1140
2021-10-02,"Georgia","13",623
2021-10-02,"Hawaii","15",40
2021-10-02,"Idaho","16",185
2021-10-02,"Illinois","17",276
2021-10-02,"Indiana","18",286
2021-10-02,"Iowa","19",104
2021-10-02,"Kansas","20",101
2021-10-02,"Kentucky","21",451
2021-10-02,"Louisiana","22",162
2021-10-02,"Maine","23",25
2021-10-02,"Maryland","24",91
2021-10-02,"Massachusetts","25",98
2021-10-02,"Michigan","26",251
2021-10-02,"Minnesota","27",115
2021-10-02,"Mississippi","28",144
2021-10-02,"Missouri","29",203
2021-10-02,"Montana","30",77
2021-10-02,"Nebraska","31",48
2021-10-02,"Nevada","32",146
2021-10-02,"New Hampshire","33",13
2021-10-02,"New Jersey","34",128
2021-10-02,"New Mexico","35",84
2021-10-02,"North Carolina","37",523
2021-10-02,"North Dakota","38",26
2021-10-02,"Ohio","39",664
2021-10-02,"Oklahoma","40",262
2021-10-02,"Oregon","41",168
2021-10-02,"Pennsylvania","42",432
2021-10-02,"Rhode Island","44",12
2021-10-02,"South Carolina","45",398
2021-10-02,"South Dakota","46",25
2021-10-02,"Tennessee","47",568
2021-10-02,"Texas","48",1628
2021-10-02,"Utah","49",71
2021-10-02,"Vermont","50",11
2021-10-02,"Virginia","51",340
2021-10-02,"Washington","53",255
2021-10-02,"West Virginia","54",203
2021-10-02,"Wisconsin","55",171
2021-10-02,"Wyoming","56",58
2021-10-02,"New York","36",318
2021-10-02,"US","US",12830
2021-10-09,"Alabama","01",276
2021-10-09,"Alaska","02",46
2021-10-09,"Arizona","04",241
2021-10-09,"Arkansas","05",112
2021-10-09,"California","06",723
2021-10-09,"Colorado","08",165
2021-10-09,"Connecticut","09",34
2021-10-09,"Delaware","10",34
2021-10-09,"District of Columbia","11",5
2021-10-09,"Florida","12",852
2021-10-09,"Georgia","13",478
2021-10-09,"Hawaii","15",21
2021-10-09,"Idaho","16",165
2021-10-09,"Illinois","17",225
2021-10-09,"Indiana","18",264
2021-10-09,"Iowa","19",112
2021-10-09,"Kansas","20",78
2021-10-09,"Kentucky","21",309
2021-10-09,"Louisiana","22",137
2021-10-09,"Maine","23",37
2021-10-09,"Maryland","24",128
2021-10-09,"Massachusetts","25",79
2021-10-09,"Michigan","26",246
2021-10-09,"Minnesota","27",143
2021-10-09,"Mississippi","28",93
2021-10-09,"Missouri","29",160
2021-10-09,"Montana","30",110
2021-10-09,"Nebraska","31",62
2021-10-09,"Nevada","32",137
2021-10-09,"New Hampshire","33",22
2021-10-09,"New Jersey","34",138
2021-10-09,"New Mexico","35",74
2021-10-09,"North Carolina","37",447
2021-10-09,"North Dakota","38",34
2021-10-09,"Ohio","39",649
2021-10-09,"Oklahoma","40",215
2021-10-09,"Oregon","41",172
2021-10-09,"Pennsylvania","42",482
2021-10-09,"Rhode Island","44",14
2021-10-09,"South Carolina","45",358
2021-10-09,"South Dakota","46",20
2021-10-09,"Tennessee","47",471
2021-10-09,"Texas","48",1298
2021-10-09,"Utah","49",81
2021-10-09,"Vermont","50",11
2021-10-09,"Virginia","51",285
2021-10-09,"Washington","53",205
2021-10-09,"West Virginia","54",192
2021-10-09,"Wisconsin","55",185
2021-10-09,"Wyoming","56",58
2021-10-09,"New York","36",297
2021-10-09,"US","US",11180
2021-10-16,"Alabama","01",225
2021-10-16,"Alaska","02",44
2021-10-16,"Arizona","04",266
2021-10-16,"Arkansas","05",86
2021-10-16,"California","06",570
2021-10-16,"Colorado","08",152
2021-10-16,"Connecticut","09",34
2021-10-16,"Delaware","10",21
2021-10-16,"District of Columbia","11",6
2021-10-16,"Florida","12",616
2021-10-16,"Georgia","13",371
2021-10-16,"Hawaii","15",30
2021-10-16,"Idaho","16",135
2021-10-16,"Illinois","17",224
2021-10-16,"Indiana","18",232
2021-10-16,"Iowa","19",121
2021-10-16,"Kansas","20",80
2021-10-16,"Kentucky","21",296
2021-10-16,"Louisiana","22",117
2021-10-16,"Maine","23",33
2021-10-16,"Maryland","24",121
2021-10-16,"Massachusetts","25",67
2021-10-16,"Michigan","26",302
2021-10-16,"Minnesota","27",129
2021-10-16,"Mississippi","28",90
2021-10-16,"Missouri","29",151
2021-10-16,"Montana","30",117
2021-10-16,"Nebraska","31",58
2021-10-16,"Nevada","32",122
2021-10-16,"New Hampshire","33",26
2021-10-16,"New Jersey","34",126
2021-10-16,"New Mexico","35",79
2021-10-16,"North Carolina","37",364
2021-10-16,"North Dakota","38",48
2021-10-16,"Ohio","39",659
2021-10-16,"Oklahoma","40",173
2021-10-16,"Oregon","41",123
2021-10-16,"Pennsylvania","42",511
2021-10-16,"Rhode Island","44",9
2021-10-16,"South Carolina","45",257
2021-10-16,"South Dakota","46",23
2021-10-16,"Tennessee","47",354
2021-10-16,"Texas","48",1063
2021-10-16,"Utah","49",86
2021-10-16,"Vermont","50",13
2021-10-16,"Virginia","51",257
2021-10-16,"Washington","53",219
2021-10-16,"West Virginia","54",153
2021-10-16,"Wisconsin","55",183
2021-10-16,"Wyoming","56",46
2021-10-16,"New York","36",290
2021-10-16,"US","US",9878
2021-10-23,"Alabama","01",159
2021-10-23,"Alaska","02",50
2021-10-23,"Arizona","04",232
