"time_value","fips","geo_value_fullname","age_group","value"
2021-01-16,"20","Kansas","0-130",9
2021-01-16,"21","Kentucky","0-130",7
2021-01-16,"22","Louisiana","0-130",5
2021-01-16,"23","Maine","0-130",0
2021-01-16,"24","Maryland","0-130",4
2021-01-16,"25","Massachusetts","0-130",3
2021-01-16,"26","Michigan","0-130",6
2021-01-16,"27","Minnesota","0-130",1
2021-01-16,"28","Mississippi","0-130",29
2021-01-16,"29","Missouri","0-130",8
2021-01-16,"30","Montana","0-130",0
2021-01-16,"31","Nebraska","0-130",4
2021-01-16,"32","Nevada","0-130",13
2021-01-16,"33","New Hampshire","0-130",0
2021-01-16,"34","New Jersey","0-130",6
2021-01-16,"35","New Mexico","0-130",3
