location,date,age_group,target,value,population,value_numeric
49,2023-09-09,65-74,rate hosp,0.0,245876.0,0.0
49,2023-09-09,65-74,inc hosp,0.0,245876.0,0.0
49,2023-09-02,65-74,rate hosp,0.0,245876.0,0.0
49,2023-09-02,65-74,inc hosp,0.0,245876.0,0.0
49,2023-08-26,65-74,rate hosp,0.0,245876.0,0.0
49,2023-08-26,65-74,inc hosp,0.0,245876.0,0.0
49,2023-08-19,65-74,rate hosp,0.0,245876.0,0.0
49,2023-08-19,65-74,inc hosp,0.0,245876.0,0.0
49,2023-08-12,65-74,rate hosp,0.0,245876.0,0.0
49,2023-08-12,65-74,inc hosp,0.0,245876.0,0.0
49,2023-08-05,65-74,rate hosp,0.0,245876.0,0.0
49,2023-08-05,65-74,inc hosp,0.0,245876.0,0.0
49,2023-07-29,65-74,rate hosp,0.0,245876.0,0.0
49,2023-07-29,65-74,inc hosp,0.0,245876.0,0.0
49,2023-07-22,65-74,rate hosp,0.0,245876.0,0.0
49,2023-07-22,65-74,inc hosp,0.0,245876.0,0.0
49,2023-07-15,65-74,rate hosp,0.0,245876.0,0.0
49,2023-07-15,65-74,inc hosp,0.0,245876.0,0.0
49,2023-07-08,65-74,rate hosp,0.0,245876.0,0.0
49,2023-07-08,65-74,inc hosp,0.0,245876.0,0.0
49,2023-07-01,65-74,rate hosp,0.0,245876.0,0.0
49,2023-07-01,65-74,inc hosp,0.0,245876.0,0.0
49,2023-06-24,65-74,rate hosp,0.0,245876.0,0.0
49,2023-06-24,65-74,inc hosp,0.0,245876.0,0.0
49,2023-06-17,65-74,rate hosp,0.0,245876.0,0.0
49,2023-06-17,65-74,inc hosp,0.0,245876.0,0.0
49,2023-06-10,65-74,rate hosp,0.0,245876.0,0.0
49,2023-06-10,65-74,inc hosp,0.0,245876.0,0.0
49,2023-06-03,65-74,rate hosp,0.0,245876.0,0.0
49,2023-06-03,65-74,inc hosp,0.0,245876.0,0.0
49,2023-05-27,65-74,rate hosp,0.0,245876.0,0.0
49,2023-05-27,65-74,inc hosp,0.0,245876.0,0.0
49,2023-05-20,65-74,rate hosp,0.0,245876.0,0.0
49,2023-05-20,65-74,inc hosp,0.0,245876.0,0.0
49,2023-05-13,65-74,rate hosp,0.0,245876.0,0.0
49,2023-05-13,65-74,inc hosp,0.0,245876.0,0.0
49,2023-05-06,65-74,rate hosp,0.0,245876.0,0.0
49,2023-05-06,65-74,inc hosp,0.0,245876.0,0.0
49,2023-04-29,65-74,rate hosp,0.0,245876.0,0.0
49,2023-04-29,65-74,inc hosp,0.0,245876.0,0.0
49,2023-04-22,65-74,rate hosp,0.0,245876.0,0.0
49,2023-04-22,65-74,inc hosp,0.0,245876.0,0.0
49,2023-04-15,65-74,rate hosp,0.0,245876.0,0.0
49,2023-04-15,65-74,inc hosp,0.0,245876.0,0.0
49,2023-04-08,65-74,rate hosp,0.0,245876.0,0.0
49,2023-04-08,65-74,inc hosp,0.0,245876.0,0.0
49,2023-04-01,65-74,rate hosp,0.0,245876.0,0.0
49,2023-04-01,65-74,inc hosp,0.0,245876.0,0.0
49,2023-03-25,65-74,rate hosp,0.0,245876.0,0.0
49,2023-03-25,65-74,inc hosp,0.0,245876.0,0.0
49,2023-03-18,65-74,rate hosp,1.1,245876.0,1.1
49,2023-03-18,65-74,inc hosp,2.704636,245876.0,2.704636
49,2023-03-11,65-74,rate hosp,0.0,245876.0,0.0
49,2023-03-11,65-74,inc hosp,0.0,245876.0,0.0
49,2023-03-04,65-74,rate hosp,0.0,245876.0,0.0
49,2023-03-04,65-74,inc hosp,0.0,245876.0,0.0
49,2023-02-25,65-74,rate hosp,0.0,245876.0,0.0
49,2023-02-25,65-74,inc hosp,0.0,245876.0,0.0
49,2023-02-18,65-74,rate hosp,2.3,245876.0,2.3
49,2023-02-18,65-74,inc hosp,5.655148,245876.0,5.655148
49,2023-02-11,65-74,rate hosp,2.3,245876.0,2.3
49,2023-02-11,65-74,inc hosp,5.655148,245876.0,5.655148
49,2023-02-04,65-74,rate hosp,0.0,245876.0,0.0
49,2023-02-04,65-74,inc hosp,0.0,245876.0,0.0
49,2023-01-28,65-74,rate hosp,1.1,245876.0,1.1
49,2023-01-28,65-74,inc hosp,2.704636,245876.0,2.704636
49,2023-01-21,65-74,rate hosp,0.0,245876.0,0.0
49,2023-01-21,65-74,inc hosp,0.0,245876.0,0.0
49,2023-01-14,65-74,rate hosp,2.3,245876.0,2.3
49,2023-01-14,65-74,inc hosp,5.655148,245876.0,5.655148
49,2023-01-07,65-74,rate hosp,3.4,245876.0,3.4
49,2023-01-07,65-74,inc hosp,8.359784,245876.0,8.359784
49,2022-12-31,65-74,rate hosp,4.5,245876.0,4.5
49,2022-12-31,65-74,inc hosp,11.06442,245876.0,11.06442
49,2022-12-24,65-74,rate hosp,4.5,245876.0,4.5
49,2022-12-24,65-74,inc hosp,11.06442,245876.0,11.06442
49,2022-12-17,65-74,rate hosp,3.4,245876.0,3.4
49,2022-12-17,65-74,inc hosp,8.359784,245876.0,8.359784
49,2022-12-10,65-74,rate hosp,2.3,245876.0,2.3
49,2022-12-10,65-74,inc hosp,5.655148,245876.0,5.655148
49,2022-12-03,65-74,rate hosp,7.9,245876.0,7.9
49,2022-12-03,65-74,inc hosp,19.424204,245876.0,19.424204
49,2022-11-26,65-74,rate hosp,3.4,245876.0,3.4
49,2022-11-26,65-74,inc hosp,8.359784,245876.0,8.359784
49,2022-11-19,65-74,rate hosp,1.1,245876.0,1.1
49,2022-11-19,65-74,inc hosp,2.704636,245876.0,2.704636
49,2022-11-12,65-74,rate hosp,0.0,245876.0,0.0
49,2022-11-12,65-74,inc hosp,0.0,245876.0,0.0
49,2022-11-05,65-74,rate hosp,0.0,245876.0,0.0
49,2022-11-05,65-74,inc hosp,0.0,245876.0,0.0
49,2022-10-29,65-74,rate hosp,2.3,245876.0,2.3
49,2022-10-29,65-74,inc hosp,5.655148,245876.0,5.655148
49,2022-10-22,65-74,rate hosp,0.0,245876.0,0.0
49,2022-10-22,65-74,inc hosp,0.0,245876.0,0.0
49,2022-10-15,65-74,rate hosp,0.0,245876.0,0.0
49,2022-10-15,65-74,inc hosp,0.0,245876.0,0.0
49,2022-10-08,65-74,rate hosp,0.0,245876.0,0.0
49,2022-10-08,65-74,inc hosp,0.0,245876.0,0.0
49,2023-09-30,2-4,rate hosp,0.0,141272.0,0.0
49,2023-09-30,2-4,inc hosp,0.0,141272.0,0.0
49,2023-09-23,2-4,rate hosp,0.0,141272.0,0.0
49,2023-09-23,2-4,inc hosp,0.0,141272.0,0.0
49,2023-09-16,2-4,rate hosp,0.0,141272.0,0.0
